response_datetime,problem,is_911_call,primary_offense,subject_injury,force_type,force_type_action,race,sex,age,type_resistance,precinct,neighborhood
2016/01/01 00:47:36,Assault in Progress ,Yes,DASLT1,Unknown,Bodily Force,Body Weight to Pin,Black,Male,20.0,Tensed,1,Downtown East
2016/01/01 02:19:34,Fight ,No,DISCON,Unknown,Chemical Irritant,Personal Mace,Black,Female,27.0,Verbal Non-Compliance,1,Downtown West
2016/01/01 02:19:34,Fight ,No,DISCON,Unknown,Chemical Irritant,Personal Mace,White,Female,23.0,Verbal Non-Compliance,1,Downtown West
2016/01/01 02:28:48,Fight ,No,PRIORI,Unknown,Chemical Irritant,Crowd Control Mace,Black,Male,20.0,Commission of Crime,1,Downtown West
2016/01/01 02:28:48,Fight ,No,PRIORI,Unknown,Chemical Irritant,Crowd Control Mace,Black,Male,20.0,Commission of Crime,1,Downtown West
2016/01/01 02:28:48,Fight ,No,PRIORI,Unknown,Chemical Irritant,Crowd Control Mace,Black,Male,20.0,Commission of Crime,1,Downtown West
2016/01/01 02:28:48,Fight ,No,PRIORI,Unknown,Chemical Irritant,Crowd Control Mace,Black,Female,20.0,Commission of Crime,1,Downtown West
2016/01/01 02:28:48,Fight ,No,PRIORI,Unknown,Chemical Irritant,Crowd Control Mace,Black,Male,20.0,Commission of Crime,1,Downtown West
2016/01/01 02:28:48,Fight ,No,PRIORI,Unknown,Chemical Irritant,Crowd Control Mace,Black,Male,20.0,Unspecified,1,Downtown West
2016/01/01 02:38:23,Fight ,No,DISCON,No,Chemical Irritant,Crowd Control Mace,Black,Male,18.0,commission of crime,1,Downtown West
2016/01/01 02:38:23,Fight ,No,DISCON,No,Chemical Irritant,Chemical Munitions,Black,Male,18.0,commission of crime,1,Downtown West
2016/01/01 02:39:47,Suspicious Person ,No,DISCON,Yes,Bodily Force,Body Weight to Pin,Black,Male,21.0,Tensed,5,Lowry Hill East
2016/01/01 02:39:47,Suspicious Person ,No,DISCON,Yes,Bodily Force,Joint Lock,Black,Male,21.0,Tensed,5,Lowry Hill East
2016/01/01 02:39:47,Suspicious Person ,No,DISCON,Yes,Bodily Force,Body Weight to Pin,Black,Male,21.0,Tensed,5,Lowry Hill East
2016/01/01 03:11:20,Chase on Foot ,No,FLEE,No,Bodily Force,Body Weight to Pin,Black,Male,17.0,Fled in Vehicle,3,Ventura Village
2016/01/01 03:11:20,Chase on Foot ,No,FLEE,No,Bodily Force,Knees,Black,Male,17.0,Fled in Vehicle,3,Ventura Village
2016/01/01 03:22:39,Fight ,No,FORCE,Unknown,Chemical Irritant,Personal Mace,Black,Male,18.0,Verbal Non-Compliance,1,Downtown West
2016/01/01 03:22:39,Fight ,No,FORCE,Unknown,Chemical Irritant,Personal Mace,Black,Male,18.0,Verbal Non-Compliance,1,Downtown West
2016/01/01 15:22:04,Check the Welfare ,Yes,THREAT,Unknown,Bodily Force,Body Weight to Pin,Native American,Male,63.0,Commission of Crime,5,Lyndale
